ZipCode,City,State,Latitude,Longitude,Classification,Population
77018,HOUSTON,TX,29.8266,-95.4256,,27870
77019,HOUSTON,TX,29.7525,-95.4117,,24136
77020,HOUSTON,TX,29.7731,-95.3163,,24846
77021,HOUSTON,TX,29.6949,-95.3567,,28055
77022,HOUSTON,TX,29.83,-95.3764,,28748
77023,HOUSTON,TX,29.721,-95.3144,,26780
77024,HOUSTON,TX,29.7638,-95.5005,,39565
77025,HOUSTON,TX,29.6799,-95.4311,,28510
77026,HOUSTON,TX,29.7964,-95.3269,,23405
77027,HOUSTON,TX,29.7463,-95.4475,,18987
77028,HOUSTON,TX,29.8228,-95.2969,,18701
77029,HOUSTON,TX,29.7617,-95.2552,,17044
77030,HOUSTON,TX,29.7084,-95.4019,,13221
77031,HOUSTON,TX,29.657,-95.5497,,15678
77032,HOUSTON,TX,29.9502,-95.3399,,13497
77033,HOUSTON,TX,29.6683,-95.3356,,28369
77034,HOUSTON,TX,29.6196,-95.1952,,38186
77035,HOUSTON,TX,29.6503,-95.4786,,37417
77036,HOUSTON,TX,29.6935,-95.5256,,75870
77037,HOUSTON,TX,29.9008,-95.3894,,19569
77038,HOUSTON,TX,29.92,-95.4424,,30483
77039,HOUSTON,TX,29.9108,-95.3379,,28740
77040,HOUSTON,TX,29.8681,-95.5359,,49524
77041,HOUSTON,TX,29.873,-95.5655,,35958
77042,HOUSTON,TX,29.7419,-95.5582,,41177
77043,HOUSTON,TX,29.8084,-95.5717,,26281
77044,HOUSTON,TX,29.9059,-95.1703,,55665
77045,HOUSTON,TX,29.6411,-95.4262,,32411
77046,HOUSTON,TX,29.7316,-95.4348,,1742
77047,HOUSTON,TX,29.6143,-95.391,,32088
77048,HOUSTON,TX,29.6202,-95.3268,,20536
77049,HOUSTON,TX,29.8415,-95.1463,,38788
77050,HOUSTON,TX,29.9028,-95.2717,,5004
77051,HOUSTON,TX,29.6561,-95.3774,,18323
77052,HOUSTON,TX,29.7634,-95.3631,P,0
77053,HOUSTON,TX,29.5893,-95.4643,,30350
77054,HOUSTON,TX,29.6783,-95.4095,,24419
77055,HOUSTON,TX,29.8049,-95.4916,,42766
77056,HOUSTON,TX,29.7492,-95.4674,,24115
77057,HOUSTON,TX,29.7483,-95.4889,,43669
77058,HOUSTON,TX,29.5627,-95.0922,,19442
77059,HOUSTON,TX,29.6092,-95.1199,,18568
77060,HOUSTON,TX,29.934,-95.396,,42707
77061,HOUSTON,TX,29.6528,-95.2834,,23398
77062,HOUSTON,TX,29.5725,-95.1359,,25095
77063,HOUSTON,TX,29.7399,-95.5238,,38298
77064,HOUSTON,TX,29.9307,-95.5428,,48243
